GEOID,FInStrength,Econ_Inequ,Educ_Attain,Mean_Age,Mean_Risk,CAN_per10000,distance2FB,dist2SNAPretail,evic_rate1000
3.5001E+11,111.7688109,91.83682771,120.9872561,5,3,174.4186047,2224.598509,795.2022098,2.754820937
3.5001E+11,114.8602179,79.12032356,117.5672597,9.375,2.25,1111.111111,1267.829446,416.0486428,1.893939394
3.5001E+11,101.8373761,117.2189994,118.2360539,8.666667,2.666667,526.3157895,950.096942,564.2082372,3.759398496
3.5001E+11,94.05413156,92.31957118,121.2023066,7.190476,3.095238,1390.728477,1367.301623,935.7660367,46.95431472
3.5001E+11,116.1501028,84.79736063,117.417811,12,1,37.73584906,1781.291266,850.8315255,1.122334456
3.5001E+11,114.4870161,75.96974879,119.4169666,7.25,2.5,150.9433962,1012.206846,1111.296486,9.020618557
3.5001E+11,128.1615039,84.98006829,115.3601611,8.25,3.5,91.74311927,4045.835053,538.6209228,1.582278481
3.5001E+11,101.4186892,71.83443695,108.7306845,5.666667,3,1034.482759,4139.715203,515.5572376,26.18453865
3.5001E+11,117.943577,77.1080431,113.8496708,9.8,2.6,159.2356688,3452.871929,636.3643198,1.085187195
3.5001E+11,115.2042245,94.2122206,110.2495657,7,2.5,152.6717557,3865.337928,372.5678039,5.249343832
3.5001E+11,99.50622371,113.5592026,112.911952,5.888889,2.884615,778.0979827,2782.832684,696.3316634,19.02985075
3.5001E+11,126.5534775,74.43521982,122.061284,4.25,3.5,80.48289738,3143.748932,480.5321698,1.092896175
3.5001E+11,119.3310331,91.64074315,114.6194088,5.166667,3.666667,545.4545455,4779.74378,659.3516883,2.605863192
3.5001E+11,114.1677551,78.38310577,117.0105751,7.333333,2.833333,400,5398.06786,527.0486756,3.238866397
3.5001E+11,123.8430252,78.61280183,111.9601092,0,2,37.31343284,2030.983915,561.8722888,0
3.5001E+11,101.4413911,83.35804679,108.8837531,11,4,138.8888889,942.577855,517.906746,1.644736842
3.5001E+11,103.5690368,88.86883091,115.5853657,9,2.857143,1250,918.086827,512.6396621,1.650165017
3.5001E+11,94.35416889,127.1071589,120.1233634,4.333333,2.333333,193.5483871,829.75702,625.4027843,4.085801839
3.5001E+11,103.9994254,110.9830362,119.8853998,7,2.75,1500,956.147559,611.1220113,1.85528757
3.5001E+11,103.2536725,90.4119601,113.2300831,5.583333,3,563.3802817,968.21947,1001.103701,3.676470588
3.5001E+11,93.00344979,115.8048365,94.85921117,7.533333,2.933333,1310.043668,1281.811722,541.8575594,15.59792028
