CensusTract,Urban,Pop2010,OHU2010,PovertyRate,MedianFamilyIncome,lapophalfshare,TractWhite,TractSNAP,PPC
39049006383,1,8813,3543,9.3,112782,72.21,6972,140,0.208895949
39049006384,1,6194,2548,2.3,97154,65.1,5030,102,0.187923797
39049006386,1,3702,1562,4.7,93600,70.06,2802,89,0.243111831
39049006387,1,5527,2557,6.4,101619,91.57,4501,70,0.18563416
39049006391,1,4770,1705,1.7,150469,74.43,4259,0,0.107127883
39049006392,1,4386,1661,1.2,144667,100,3905,0,0.109667123
39049006393,1,5239,1954,2,109205,69.96,4377,12,0.164535217
39049006394,1,2750,1020,1.8,84375,100,2372,23,0.137454545
39049006395,1,3673,1906,9.1,76725,7.92,2750,22,0.251293221
39049006396,1,4289,2112,12.2,72111,23.87,3471,181,0.190720448
39049006410,1,2666,1204,5.5,135000,70.64,2508,12,0.059264816
39049006430,1,4459,1820,1.4,116563,2.29,3962,30,0.111459969
39049006500,1,3646,1342,3.4,195833,58.58,3533,0,0.030992869
39049006600,1,3903,1552,4.4,193125,86.38,3742,16,0.04125032
39049006710,1,2666,1228,4.9,98088,59.12,2432,29,0.087771943
39049006721,1,3390,1341,1.1,133333,33.88,3219,11,0.050442478
39049006722,1,2828,1130,2.6,90600,60.01,2527,11,0.106435644
39049006810,1,2140,952,4.2,103750,93.59,2055,26,0.039719626
39049006821,1,3327,1866,20.2,52566,18.04,2427,208,0.270513977
39049006822,1,1876,937,4.9,104250,81.66,1755,30,0.064498934
39049006910,1,1530,619,5.5,156500,89.78,1448,2,0.053594771
39049006921,1,3431,1494,29,51172,49.6,2281,247,0.335179248
39049006923,1,3281,1343,6.5,62750,42.4,2067,112,0.370009144
39049006924,1,3677,1665,13.8,55058,46.51,1975,107,0.462877346
39049006931,1,6249,2448,21.2,45798,34.99,2649,509,0.576092175
39049006932,1,5996,2266,18.2,57247,65.41,2527,476,0.578552368
39049006933,1,5257,2225,43.4,28361,12.52,1444,1164,0.725318623
39049006942,1,1167,537,25.4,42083,100,640,62,0.451585261
39049006943,1,4489,1740,19.9,67708,63.81,2707,289,0.396970372
39049006944,1,4112,1790,7.7,73500,85.39,2918,173,0.29036965
39049006945,1,5353,2449,17.3,38408,74.49,2026,504,0.621520643
39049006950,1,2744,1259,3.3,128167,100,2612,11,0.048104956
39049006990,1,6376,2644,14.3,84688,99.95,4649,286,0.270859473
39049007010,1,3802,1067,25.9,81908,8.86,3014,116,0.207259337
39049007020,1,6372,2553,5.8,97350,69.48,5884,100,0.07658506
39049007041,1,2062,923,5.5,102125,86.52,1794,35,0.129970902
39049007043,1,4047,1932,10.7,59342,99.88,3103,218,0.233259204
39049007044,1,5614,2482,3.2,100035,97.96,4044,23,0.279657998
39049007047,1,3727,1583,12,80114,24.65,2848,88,0.235846525
39049007048,1,5672,2337,7.9,96705,53.3,4353,107,0.232545839
39049007112,1,5431,1976,19,68005,63.3,2863,178,0.472841097
39049007113,1,4918,1797,15.5,48286,96.57,2772,495,0.436356242
39049007114,1,4823,2204,18.2,61536,59.36,3132,117,0.350611652
39049007115,1,5380,2366,28.3,49452,60.26,2427,405,0.548884758
39049007120,1,5117,1801,8.9,70156,70.83,4118,150,0.195231581
39049007132,1,7422,3385,2.9,91146,57.66,5596,134,0.24602533
39049007193,1,6316,2441,5.6,105707,89,5786,163,0.08391387
39049007194,1,6417,2560,8.4,92463,75.08,5689,172,0.113448652
39049007198,1,2812,1142,11.1,84688,67.42,2281,83,0.18883357
39049007199,1,5271,2247,9.7,73222,88.31,3600,112,0.317017644
39049007201,0,613,236,3.3,109583,100,577,0,0.058727569
39049007202,1,2915,1324,5,87250,75.32,1699,209,0.417152659
39049007203,1,3233,1048,1.6,177298,99.43,2773,0,0.14228271
39049007205,1,3710,2052,1.2,98075,80.35,3197,0,0.138274933
39049007207,1,4173,2052,3.7,102038,100,3481,47,0.165827942
39049007209,1,5706,2500,5,110391,54.57,4394,71,0.229933403
39049007210,1,8200,2798,2.3,219207,72.93,7238,87,0.117317073
39049007393,1,8742,3494,4.6,121467,84.43,7420,76,0.151223976
39049007394,1,2806,992,1.5,170625,100,2509,16,0.105844619
39049007395,1,11281,4906,4.2,76429,62.29,7260,275,0.356440032
39049007396,1,9839,3564,8.7,95385,63.81,6770,355,0.311921943
39049007424,1,5470,2177,18.2,72902,84.99,4181,121,0.235648995
39049007425,1,2867,1114,10.9,77880,99.97,2404,97,0.16149285
39049007426,1,2823,1236,4.5,81179,64.15,2525,73,0.105561459
39049007427,1,6030,2232,3.8,107039,63.82,4664,50,0.226533997
39049007492,1,5738,2303,0.7,104965,81.34,4581,31,0.201638201
39049007494,1,4341,1531,12.4,94861,95.1,3381,135,0.221147201
39049007511,1,1851,686,34.4,38542,72.07,162,284,0.912479741
39049007512,1,4053,1603,30.2,38464,53.02,353,548,0.912904022
39049007520,1,3321,1114,34.2,27500,58.14,766,367,0.769346582
39049007531,1,2496,978,29.7,43989,40.02,863,328,0.654246795
39049007532,1,2080,788,25.5,37794,100,255,312,0.877403846
39049007533,1,1569,648,27.5,47760,89.73,254,153,0.838113448
39049007534,1,3671,1283,43.9,40179,88.83,661,584,0.819940071
39049007550,1,2871,965,16.4,62147,100,866,128,0.69836294
39049007551,1,8138,3299,36.5,50344,80.83,1090,836,0.866060457
39049007710,1,4236,1758,27.9,37022,19.56,2152,644,0.49197356
39049007721,1,5155,2093,40.7,28841,0.99,1786,1105,0.653540252
39049007722,1,3210,1415,19.4,47684,30.32,2005,467,0.375389408
39049007730,1,2925,1242,10.2,62652,0.67,1754,118,0.40034188
39049007740,1,1653,856,22.3,64125,45.42,1359,99,0.177858439
39049007811,1,3461,1753,15.1,100921,100,3088,33,0.10777232
39049007812,1,4094,1944,25.8,79261,100,3617,82,0.116511969
39049007820,1,4095,2101,47.8,45129,95.93,2165,152,0.471306471
39049007830,1,2719,1767,24.2,76538,,2152,30,0.208532549
39049007921,1,7719,2595,4,104667,96.36,6596,171,0.145485166
39049007922,1,4101,1557,2.7,111234,85.49,3709,120,0.095586442
39049007931,1,4175,1574,9.7,74932,51.45,3735,221,0.105389222
